"locality","i","j","time","variable","long_name","units","value"
"Greenland",20,28,1999.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.000294232129817829
"Greenland",20,28,4999.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",2.93829742759044e-08
"Greenland",20,28,9999.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",2.72734723694157e-08
"Greenland",20,28,0.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.364436626434326
"Greenland",20,28,1.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.295074552297592
"Greenland",20,28,4.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.284123033285141
"Greenland",20,28,9.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.315308392047882
"Greenland",20,28,19.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.323037683963776
"Greenland",20,28,49.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.316593408584595
"Greenland",20,28,99.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.288463890552521
"Greenland",20,28,199.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.136754512786865
"Greenland",20,28,499.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",0.0381335765123367
"Greenland",20,28,999.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",1.42869915897847e-09
"Greenland",20,28,1999.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",5.90654608556562e-11
"Greenland",20,28,4999.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",5.61232588180971e-11
"Greenland",20,28,9999.5,"eco2D_Plankton_C_006","C Biomass - Popn. #006 (190.00 micron phytoplankton)","mmol C m^-3",5.57507616461006e-11
"Greenland",20,28,0.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.420800924301147
"Greenland",20,28,1.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.247950986027718
"Greenland",20,28,4.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.230474814772606
"Greenland",20,28,9.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.342785477638245
"Greenland",20,28,19.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.423953950405121
"Greenland",20,28,49.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.395901650190353
"Greenland",20,28,99.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.287301540374756
"Greenland",20,28,199.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",0.00035313333501108
"Greenland",20,28,499.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",1.33676555935658e-10
"Greenland",20,28,999.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",3.9182573852159e-11
"Greenland",20,28,1999.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",1.4372895235093e-11
"Greenland",20,28,4999.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",1.39121752312787e-11
"Greenland",20,28,9999.5,"eco2D_Plankton_C_007","C Biomass - Popn. #007 (600.00 micron phytoplankton)","mmol C m^-3",1.38516819542245e-11
"Greenland",20,28,0.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",0.2559994161129
"Greenland",20,28,1.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",0.0406038425862789
"Greenland",20,28,4.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",2.20402629480532e-08
"Greenland",20,28,9.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",1.3159465197532e-06
"Greenland",20,28,19.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",0.626497328281403
"Greenland",20,28,49.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",0.489967316389084
"Greenland",20,28,99.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",0.0769107192754745
"Greenland",20,28,199.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",5.74492051153008e-11
"Greenland",20,28,499.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",2.31505075526384e-11
"Greenland",20,28,999.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",1.10928618721196e-11
"Greenland",20,28,1999.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",4.36622309488155e-12
"Greenland",20,28,4999.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",4.22676347047735e-12
"Greenland",20,28,9999.5,"eco2D_Plankton_C_008","C Biomass - Popn. #008 (1900.00 micron phytoplankton)","mmol C m^-3",4.20832682937466e-12
"Greenland",20,28,0.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",0.00257255951873958
"Greenland",20,28,1.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",4.505902325036e-06
"Greenland",20,28,4.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.77040923587946e-10
"Greenland",20,28,9.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.78226183811248e-10
"Greenland",20,28,19.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.70323130599392e-10
"Greenland",20,28,49.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.79122952581601e-10
"Greenland",20,28,99.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.9248622140644e-10
"Greenland",20,28,199.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.96746327563169e-10
"Greenland",20,28,499.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.67181518628823e-10
"Greenland",20,28,999.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.28723878778381e-10
"Greenland",20,28,1999.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.02408699576007e-10
"Greenland",20,28,4999.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.0129408423154e-10
"Greenland",20,28,9999.5,"eco2D_Plankton_C_009","C Biomass - Popn. #009 (0.60 micron zooplankton)","mmol C m^-3",1.01181903133796e-10
"Greenland",20,28,0.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0434915348887444
"Greenland",20,28,1.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0444371923804283
"Greenland",20,28,4.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0441447794437408
"Greenland",20,28,9.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0421685948967934
"Greenland",20,28,19.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0394854657351971
"Greenland",20,28,49.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0396107062697411
"Greenland",20,28,99.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0407270155847073
"Greenland",20,28,199.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0424800924956799
"Greenland",20,28,499.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0426728427410126
"Greenland",20,28,999.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0390702821314335
"Greenland",20,28,1999.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0322988107800484
"Greenland",20,28,4999.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0319601111114025
"Greenland",20,28,9999.5,"eco2D_Plankton_C_010","C Biomass - Popn. #010 (1.90 micron zooplankton)","mmol C m^-3",0.0319133996963501
"Greenland",20,28,0.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.147847384214401
"Greenland",20,28,1.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.150054842233658
"Greenland",20,28,4.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.144220754504204
"Greenland",20,28,9.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.138041958212852
"Greenland",20,28,19.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.129497066140175
"Greenland",20,28,49.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.129300281405449
"Greenland",20,28,99.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.132032096385956
"Greenland",20,28,199.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.12975962460041
"Greenland",20,28,499.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.124492414295673
"Greenland",20,28,999.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.11327650398016
"Greenland",20,28,1999.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.094920314848423
"Greenland",20,28,4999.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.0943654999136925
"Greenland",20,28,9999.5,"eco2D_Plankton_C_011","C Biomass - Popn. #011 (6.00 micron zooplankton)","mmol C m^-3",0.0942725762724876
"Greenland",20,28,0.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.286229580640793
"Greenland",20,28,1.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.28725478053093
"Greenland",20,28,4.5,"eco2D_Plankton_C_012","C Biomass - Popn. #012 (19.00 micron zooplankton)","mmol C m^-3",0.274443536996841
