net_id,net_type,stage,S4_C1,S4_R1,S4_C2
1,atn_nestedbm,creation,3,25,31
1,atn_nestedbm,creation,3,25,38
1,atn_nestedbm,creation,3,25,39
1,atn_nestedbm,creation,3,30,41
1,atn_nestedbm,creation,3,38,41
1,atn_nestedbm,creation,4,5,30
1,atn_nestedbm,creation,4,5,38
1,atn_nestedbm,creation,4,6,15
1,atn_nestedbm,creation,4,6,17
1,atn_nestedbm,creation,4,6,30
1,atn_nestedbm,creation,4,6,31
1,atn_nestedbm,creation,4,6,38
1,atn_nestedbm,creation,4,6,39
1,atn_nestedbm,creation,4,7,15
1,atn_nestedbm,creation,4,7,30
1,atn_nestedbm,creation,4,7,31
1,atn_nestedbm,creation,4,7,38
1,atn_nestedbm,creation,4,7,39
1,atn_nestedbm,creation,4,8,15
1,atn_nestedbm,creation,4,8,30
1,atn_nestedbm,creation,4,8,31
1,atn_nestedbm,creation,4,8,38
1,atn_nestedbm,creation,4,8,39
1,atn_nestedbm,creation,4,9,15
1,atn_nestedbm,creation,4,9,30
1,atn_nestedbm,creation,4,9,31
1,atn_nestedbm,creation,4,9,38
1,atn_nestedbm,creation,4,9,39
1,atn_nestedbm,creation,4,10,15
1,atn_nestedbm,creation,4,10,30
1,atn_nestedbm,creation,4,10,31
1,atn_nestedbm,creation,4,10,38
1,atn_nestedbm,creation,4,10,39
1,atn_nestedbm,creation,4,11,30
1,atn_nestedbm,creation,4,11,38
1,atn_nestedbm,creation,4,12,30
1,atn_nestedbm,creation,4,12,31
1,atn_nestedbm,creation,4,12,38
1,atn_nestedbm,creation,4,12,39
1,atn_nestedbm,creation,4,13,30
1,atn_nestedbm,creation,4,13,38
1,atn_nestedbm,creation,4,14,30
1,atn_nestedbm,creation,4,14,38
1,atn_nestedbm,creation,4,15,18
1,atn_nestedbm,creation,4,15,19
1,atn_nestedbm,creation,4,15,23
1,atn_nestedbm,creation,4,15,24
1,atn_nestedbm,creation,4,15,25
1,atn_nestedbm,creation,4,16,30
1,atn_nestedbm,creation,4,16,31
1,atn_nestedbm,creation,4,16,38
1,atn_nestedbm,creation,4,16,39
1,atn_nestedbm,creation,4,17,23
1,atn_nestedbm,creation,4,18,30
1,atn_nestedbm,creation,4,18,31
1,atn_nestedbm,creation,4,18,38
1,atn_nestedbm,creation,4,18,39
1,atn_nestedbm,creation,4,19,30
1,atn_nestedbm,creation,4,19,31
1,atn_nestedbm,creation,4,19,38
1,atn_nestedbm,creation,4,19,39
1,atn_nestedbm,creation,4,20,30
1,atn_nestedbm,creation,4,20,31
1,atn_nestedbm,creation,4,20,38
1,atn_nestedbm,creation,4,20,39
1,atn_nestedbm,creation,4,21,30
1,atn_nestedbm,creation,4,21,38
1,atn_nestedbm,creation,4,23,30
1,atn_nestedbm,creation,4,23,31
1,atn_nestedbm,creation,4,23,38
1,atn_nestedbm,creation,4,23,39
1,atn_nestedbm,creation,4,24,30
1,atn_nestedbm,creation,4,24,31
1,atn_nestedbm,creation,4,24,38
1,atn_nestedbm,creation,4,24,39
1,atn_nestedbm,creation,4,25,30
1,atn_nestedbm,creation,4,25,31
1,atn_nestedbm,creation,4,25,38
1,atn_nestedbm,creation,4,25,39
1,atn_nestedbm,creation,4,30,41
1,atn_nestedbm,creation,4,38,41
1,atn_nestedbm,creation,5,6,30
1,atn_nestedbm,creation,5,6,38
1,atn_nestedbm,creation,5,7,30
1,atn_nestedbm,creation,5,7,38
1,atn_nestedbm,creation,5,8,29
1,atn_nestedbm,creation,5,8,30
1,atn_nestedbm,creation,5,8,37
1,atn_nestedbm,creation,5,8,38
1,atn_nestedbm,creation,5,9,29
1,atn_nestedbm,creation,5,9,30
1,atn_nestedbm,creation,5,9,37
1,atn_nestedbm,creation,5,9,38
1,atn_nestedbm,creation,5,10,30
1,atn_nestedbm,creation,5,10,38
1,atn_nestedbm,creation,5,11,29
1,atn_nestedbm,creation,5,11,30
1,atn_nestedbm,creation,5,11,37
1,atn_nestedbm,creation,5,11,38
